,grade,负债水平,年龄,closed_accounts,past_due_accounts,open_accounts,enquiry_alert,一年内信用卡查询次数,一年内贷款查询次数,在用信用卡数,信用卡总额度,信用卡平均额度,当前贷款笔数,贷款总额度,贷款平均额度,近一年逾期30天以上次数,平均每月还款额,学历,就业状况
958,,102461,35,22,0,5,42,0,13,1,10000,10000,4,130000,32500,2,6540,,
959,,69869,42,3,0,3,49,0,2,2,41000,20500,1,30000,30000,0,1358,,
960,,18599,19,1,0,9,20,3,3,9,27998,3111,0,0,0,1,390,,
961,,814683,51,18,0,7,89,0,9,1,100000,100000,6,985000,164167,1,61528,,
962,,62037,20,9,0,8,79,10,4,8,84000,10500,0,0,0,0,996,,
963,,157011,40,4,0,6,40,0,1,4,33000,8250,2,115000,57500,0,650,,
964,,343764,37,3,0,6,67,0,4,3,93000,31000,3,253325,84442,1,800,,
965,,124441,62,14,0,4,3,1,0,3,15000,5000,1,90000,90000,0,10295,,
966,,221608,36,11,0,9,100,0,4,1,41000,41000,8,522077,65260,0,7623,,
967,,171543,29,4,0,6,139,1,9,1,30000,30000,5,260000,52000,0,6875,,
968,,609615,30,7,0,11,93,1,18,4,160887,40222,7,540000,77143,1,11881,,
969,,224968,30,5,0,7,77,0,2,6,136167,22695,1,120000,120000,0,7095,,
970,,236923,29,0,0,4,59,0,4,2,90000,45000,2,150000,75000,0,1473,,
971,,57074,24,1,0,3,37,1,15,0,0,0,3,55000,18333,1,5752,,
972,,32792,21,0,0,2,15,0,15,0,0,0,2,30000,15000,0,0,,
973,,45769,24,7,0,4,19,0,5,2,10000,5000,2,75000,37500,2,8114,,
974,,65938,27,0,0,3,34,0,1,0,0,0,3,108500,36167,0,517,,
975,,166194,24,5,0,13,142,0,18,7,43000,6143,6,125000,20833,0,1329,,
976,,99328,22,3,0,2,18,1,7,0,0,0,2,70000,35000,0,399,,
977,,333380,22,3,0,9,99,0,16,6,160000,26667,3,163349,54450,1,5332,,
978,,1062670,45,23,0,11,91,4,17,0,0,0,11,995163,90469,1,30253,,
979,,176983,25,5,0,7,139,1,7,1,105000,105000,6,171528,28588,1,4330,,
980,,285988,28,13,0,6,31,1,2,5,45000,9000,1,146000,146000,2,12503,,
981,,179403,22,0,0,5,75,1,10,3,82000,27333,2,99000,49500,0,3496,,
982,,94391,19,1,0,4,30,0,8,0,0,0,4,94572,23643,0,1124,,
983,,103470,43,0,0,5,61,0,0,5,814000,162800,0,0,0,0,2351,,
984,,379842,32,20,0,7,47,0,9,1,36000,36000,6,348000,58000,1,23521,,
985,,165750,47,6,0,2,54,0,3,0,0,0,2,157760,78880,0,43376,,
986,,64296,28,3,0,2,28,0,4,1,14000,14000,1,48646,48646,2,9766,,
987,,442339,61,11,0,5,66,0,4,1,10000,10000,4,300000,75000,0,42005,,
988,,334699,49,28,0,8,52,1,24,0,0,0,8,295000,36875,2,4227,,
989,,-3,21,2,0,0,15,0,1,0,0,0,0,0,0,2,10027,,
990,,272267,29,7,0,4,88,1,0,2,150000,75000,2,126000,63000,1,2479,,
991,,255326,35,4,0,3,45,0,8,1,80000,80000,2,140000,70000,0,1191,,
992,,119349,27,3,0,5,74,0,3,4,68000,17000,1,60000,60000,0,422,,
993,,173290,30,5,0,5,63,0,6,0,0,0,5,226000,45200,4,1921,,
994,,0,19,1,0,1,15,0,11,0,0,0,1,30000,30000,0,3890,,
995,,30906,22,2,0,3,49,1,1,2,20000,10000,1,15000,15000,0,1520,,
