是否逾期,申请时段,grade,closed_accounts,open_accounts,enquiry_alert,人脸相似度,电话使用时长,年龄,分区,信用卡额度使用率,信用卡数,信用卡平均额度,贷款数,贷款平均额度,平均分期金额,平均期数,90天内贷款查询次数,180天内贷款查询次数,120天内信用卡查询次数,365天内信用卡查询次数,历史近两年逾期最大天数,ULC33S,近三个月逾期天数,G207O,dsr_before,身份证号首字母,历史申请贷款查询数,开户成功率,total_monthly_obligation
否,23点,HH,0,4,33,0.52,两年以上,21,北区,0.81,4,25750,0,0,0,0,2,2,0,0,0,83798,1,2514,23,Y,2,0,2859
是,13点,GG,0,1,17,0.49,半年到一年,58,九龙城,0,0,0,1,10000,1074,12,9,9,0,2,0,8701,0,1074,13,E,9,0.11,1419
是,11点,II,0,0,1,0.45,两年以上,50,观塘,0.74,2,34000,2,32500,2069,24,0,0,0,0,0,141355,0,6578,6,C,0,0,184
否,14点,II,18,2,41,0.54,两年以上,23,葵青,1.01,1,15000,1,60000,2956,60,1,6,2,5,0,75176,0,3411,33,Y,21,0.71,3596
否,15点,II,18,9,38,0.44,两年以上,38,沙田,0.95,3,36667,6,33000,2869,21,3,10,0,0,0,301280,0,20349,58,Z,27,0.89,18595
否,16点,II,15,3,31,0.55,两年以上,25,屯门,0,1,10000,0,0,0,0,2,6,0,0,0,0,61,0,0,Y,12,0.92,0
否,22点,HH,3,2,31,0.54,两年以上,40,北区,0.99,1,45000,1,300000,10240,48,0,1,0,0,0,495236,0,11580,58,K,3,0.67,0
否,22点,II,6,2,22,0.49,两年以上,42,大埔,1.03,1,20000,1,64000,2546,36,0,1,0,0,6,107194,6,3165,49,K,8,0.88,3349
否,11点,II,0,4,31,0.48,半年到一年,25,北区,0.98,1,10000,3,36667,2338,15,0,9,0,4,0,93769,0,7310,37,Y,11,0.27,7494
否,12点,II,1,3,8,0.64,两年以上,38,北区,0.97,1,45000,2,17500,1865,12,4,6,0,0,0,76556,0,5035,50,Z,6,0.67,5219
否,13点,HH,15,2,62,0.67,两年以上,24,沙田,0,1,10000,1,10000,1040,12,3,4,1,1,0,10000,11,1040,8,Y,14,1.14,1385
否,22点,II,9,8,49,0.48,两年以上,51,观塘,0.85,3,30000,5,40000,2564,26,4,10,0,0,0,354635,0,15128,50,G,28,0.61,15312
否,9点,II,1,6,18,0.52,Missing,24,深水埗,0.95,3,13667,3,16667,1304,29,11,13,0,0,0,93593,0,5085,34,Y,15,0.47,5269
否,19点,HH,4,3,18,0.4,两年以上,52,观塘,0.61,2,57463,1,105000,4807,36,0,1,0,0,0,233174,0,6899,58,G,4,1.5,7244
